,0,1,2,3,4,5
0,1.0578584305604664,1.1665016611090984,1.2005857556163724,1.1296696519118201,1.3912357389448662,1.2211571577803113
1,1.0561245845417293,1.0246647246387508,1.0593894473530725,1.0647131819943148,1.0965279463450472,1.1379210601066976
2,1.0154486325984728,1.0659576048063029,1.1544164341176442,1.1376875424971722,1.1725082515024603,1.2076992590089641
3,1.0032103092361455,1.0955289425608727,1.1133882862027238,1.1266598553542018,1.3375407874446454,1.1435476688047344
4,1.090910095367553,1.0964450067545601,1.1545067165413223,1.0867694719845051,1.2669207572361436,1.1729995862284939
5,1.0682795960343296,1.096256531789175,1.1030460379539273,1.1703174791523718,1.5239230938002104,1.1724716865861662
6,1.0383240841987367,1.150388536129406,1.1647333629514436,1.2566957140291823,1.3168022827771246,1.342125400002533
7,1.1138195232881476,1.0844820740606917,1.13573029875548,1.0563656259943117,1.1731143845071788,1.045926506930211
8,1.009062639005697,1.0416693449084187,1.112569826784528,1.2166513687568687,1.4423360006609094,1.277363547070624
9,1.064800249393454,1.104927517127734,1.1646633093934557,1.1562505344568992,1.286395698618859,1.2365280728447323
