,0
0,1.0023852825803778
1,1.128143329107798
2,1.2144962766824392
3,1.1393252558196187
4,1.134899159570849
5,1.0967417897316032
6,1.0972072427435609
7,1.1416095879668349
8,1.0228647115536524
9,1.2087615235099907
