,0,1,2,3,4,5
0,1.9745413447536997,1.2933535901371553,1.2274838258699299,1.056272364158294,1.0242881860497077,1.0701499220555812
1,2.1747145356369573,1.4775664433421938,1.2186518559308597,1.0875886489004822,1.0213227945284076,1.108264204953587
2,1.8505477272293802,1.4731938499251955,1.3221986355702757,1.1310914093601694,1.1333815465146062,1.1392119629193154
3,1.7012082916616607,1.4617736147168428,1.4547386221661454,1.100747270903209,1.1269851732007268,1.0411631602305131
4,1.9158738348628102,1.4987485573141215,1.3653111046883102,1.1101689838419773,1.0775996941016794,1.1115414370110301
5,1.8884789066857153,1.3832051603774216,1.307870134228849,1.090064073631845,1.043654230945177,1.0827598867434525
6,1.8025417690914411,1.328746437118739,1.2161703527605023,1.0818474055230793,1.0871001423166786,1.0469477730692403
7,2.1174781813899597,1.3729121210662478,1.3713633029940664,1.0329957110764134,1.0870128247983066,1.1933550619496083
8,1.8313991948310941,1.3102436683446674,1.3765509127071518,1.1351061568030147,1.060773910886199,1.1246080928437878
9,1.6531904732438478,1.5774709936674411,1.4914771588302542,1.0381759691214283,1.0640194008390027,1.0974524848904497
