,0,1,2
0,1.2048674096577603,1.0820318852330897,1.3242971921921312
1,1.3102425086241782,1.1735002166394572,1.2270656615346076
2,1.2108318720658815,1.0623678591975838,1.1830822252594888
3,1.2426160389356815,1.0901020068411975,1.2299136903155514
4,1.3227400714633717,1.0650267687361303,1.2353861576348453
5,1.28875868455891,1.0896307119426814,1.1752009324311699
6,1.1461336245078138,1.0778003417279822,1.3630584706293896
7,1.343225042578449,1.1427003161773528,1.4554907817189409
8,1.3736669019929744,1.1463016648025057,1.334837650285407
9,1.2579889262806623,1.0863948107828325,1.312957437693812
